gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulate
HLA-DQA1 /// LOC100509457,-1.075114087,7.463280209,-2.170355845,0.03118638,0.723407151,-3.568343204,down-regulated
OLFM4,1.014349732,7.20509729,3.489973523,0.000597025,0.230207141,-0.496697266,up-regulated
CEACAM8,0.760653201,8.996469716,3.494949411,0.000586653,0.230207141,-0.482702561,up-regulated
MMP8,0.74900594,4.882631091,4.638096092,6.43E-06,0.037942255,3.167040888,up-regulated
LCN2,0.714229538,7.211541477,4.01996312,8.31E-05,0.087010499,1.088663856,up-regulated
LTF,0.673202775,7.460681178,3.155799696,0.001853958,0.369550445,-1.396551209,up-regulated
DEFA4,0.661644425,6.874930199,3.101978526,0.00220701,0.393265736,-1.533993446,up-regulated
ARG1,0.638953394,5.525326485,3.922410096,0.000121333,0.098409502,0.782754045,up-regulated
FAM3B,-0.576130581,4.533179007,-2.967744012,0.003374976,0.415012476,-1.867558704,down-regulated
BPI /// LOC149684,0.557973452,6.601538662,3.409300908,0.000791126,0.262085557,-0.721174637,up-regulated
CEACAM6,0.556994063,4.567137521,4.288289011,2.83E-05,0.043108777,1.961702724,up-regulated
CRISP3,0.544560002,4.663670636,3.188768011,0.00166432,0.362291165,-1.311323082,up-regulated
FOLR3,0.522022754,7.059271762,2.470595005,0.014345721,0.610694293,-2.985471041,up-regulated
CNTNAP3 /// CNTNAP3B /// CNTNAP3P2,0.516125981,8.443517992,3.319272907,0.001076691,0.305118775,-0.966275187,up-regulated
TDRD9,0.489348275,6.778802062,4.543462448,9.68E-06,0.037942255,2.833658548,up-regulated
HP,0.487230902,7.481849851,4.39299849,1.83E-05,0.043108777,2.314680782,up-regulated
PROS1,0.446716572,6.200416787,2.67699751,0.008060166,0.544005786,-2.544119195,up-regulated
PF4V1,0.441240807,4.647730534,2.467007616,0.014485748,0.61189709,-2.992851628,up-regulated
HLA-DRB4,0.437172281,6.356569046,1.060815779,0.290083437,0.986114076,-5.089633038,unchanged
CLEC12B,0.435736763,5.765235866,2.395039146,0.017563346,0.639236498,-3.138804231,up-regulated
DEFA1 /// DEFA1B /// DEFA3,0.430765498,11.53796557,2.479304576,0.014010753,0.605011031,-2.967510705,up-regulated
GZMK,-0.415318376,9.284655206,-5.161266326,6.01E-07,0.014135848,5.103210117,down-regulated
TCN1,0.409638926,6.190823899,3.236851686,0.001419782,0.351180398,-1.185613402,up-regulated
S100B,-0.407388778,4.988213271,-2.696649945,0.007615901,0.537655409,-2.500395817,down-regulated
PLOD2,0.400781301,3.869285898,3.015769537,0.002903946,0.415012476,-1.749738958,up-regulated
PTX3,0.400507031,4.659046187,2.857992983,0.00472556,0.467016387,-2.130391932,up-regulated
LAIR2,-0.397842955,5.448358893,-3.343773894,0.000990687,0.287678339,-0.9001398,down-regulated
S100P,0.395546599,10.89737791,2.22653423,0.027120786,0.708523122,-3.464677994,up-regulated
CNTNAP3 /// CNTNAP3B,0.395112092,5.481982613,2.16706305,0.03144023,0.726429901,-3.574341649,up-regulated
NRG1,0.391794376,6.454794687,4.328738385,2.39E-05,0.043108777,2.097253376,up-regulated
FCER1A,-0.390778153,7.95742768,-3.792850175,0.000198484,0.123428546,0.386176136,down-regulated
PGM5,0.389114361,4.865436102,2.194562327,0.029374073,0.721336703,-3.523982199,up-regulated
RNASE3,0.386186363,5.371364938,2.632361326,0.009157233,0.581350658,-2.6423343,up-regulated
CACNA1E,0.384871311,6.014219828,3.18056979,0.00170972,0.362291165,-1.332590152,up-regulated
RSAD2,0.382100534,8.138519104,2.129348245,0.034477485,0.73926858,-3.642431018,up-regulated
HP /// HPR,0.381821545,6.96686579,3.980783241,9.68E-05,0.093078971,0.96505499,up-regulated
IFI27,0.373913778,5.540949768,2.510392771,0.012871136,0.599101171,-2.902923509,up-regulated
COL4A3,-0.368774404,5.8417007,-2.460389753,0.014747253,0.61189709,-3.006440826,down-regulated
CD177,0.367382615,5.461227325,2.418917552,0.016483572,0.623328117,-3.090825563,up-regulated
TMEM176B,0.364428522,7.761848412,1.471462566,0.14277518,0.920803693,-4.645132895,unchanged
HLA-DQA1 /// HLA-DQA2 /// LOC100509457,-0.362239511,8.486840984,-2.582830102,0.010530292,0.587498766,-2.749537466,down-regulated
THBS1,0.360564592,6.128580356,3.116758,0.002104334,0.392559957,-1.496461124,up-regulated
UTS2,-0.357943562,4.358045947,-2.613264801,0.009666297,0.581350658,-2.683888542,down-regulated
HOTS,-0.357424586,6.571067419,-2.202437766,0.028804473,0.721153904,-3.509449352,down-regulated
SERPING1,0.357111521,6.978521356,2.29509782,0.022789898,0.674510246,-3.334775946,up-regulated
TNFAIP6,0.357047036,9.370794901,2.611992924,0.009701088,0.581350658,-2.686646249,up-regulated
PFKFB2,0.35671591,6.668493314,4.335409353,2.33E-05,0.043108777,2.119706235,up-regulated
LOC101928784,-0.354575211,7.33622184,-3.942703153,0.000112204,0.09425576,0.845876375,down-regulated
GRB10,0.354009662,8.153886474,4.597865597,7.66E-06,0.037942255,3.0246632,up-regulated
ERV3-2,0.352958747,7.453941751,2.795004604,0.005707619,0.488177874,-2.277175318,up-regulated
ITGB3,0.352417763,8.016547836,2.409680535,0.016894095,0.628743702,-3.109438142,up-regulated
TNNT1,0.350588902,4.386402634,3.200283633,0.001602434,0.359195021,-1.281368376,up-regulated
LOC100653086,0.350538019,6.299112837,3.355436695,0.000952039,0.287395633,-0.868508831,up-regulated
EGF,0.349903691,5.084632401,2.676493927,0.008071852,0.544005786,-2.545235723,up-regulated
AKR1C3,-0.349306786,5.64295509,-3.103038878,0.002199492,0.393265736,-1.531305993,down-regulated
KCNE1,0.345949951,4.571432601,3.492082325,0.000592609,0.230207141,-0.490768357,up-regulated
1-Mar,0.345333625,8.35164426,4.036099354,7.80E-05,0.087010499,1.139862294,up-regulated
SIPA1L2,0.344030385,8.20246274,3.226658484,0.001468649,0.352490789,-1.212401419,up-regulated
TMEM176A,0.343526678,6.915137948,1.52497277,0.128883247,0.903248363,-4.576832503,unchanged
OLAH,0.342432983,4.66007249,2.974341392,0.003306359,0.415012476,-1.851474391,up-regulated
CMPK2,0.341531397,7.550861597,2.037986355,0.04289939,0.75292217,-3.802666966,up-regulated
LTBP1,0.341009533,8.706613539,3.06972461,0.002447346,0.402545556,-1.615348679,up-regulated
TMEM45A,0.340588149,4.620321315,2.683783725,0.00790418,0.540448341,-2.529054203,up-regulated
SERPINB2,0.33878653,4.782248549,2.677804865,0.008041464,0.544005786,-2.542328752,up-regulated
KLRG1,-0.337615653,6.726193438,-3.161532001,0.00181961,0.369550445,-1.381788812,down-regulated
COL4A4,-0.336147269,5.060779702,-2.738456592,0.006743574,0.525659049,-2.406407694,down-regulated
TPST1,0.336002704,5.692018339,3.644134235,0.000343827,0.169509812,-0.055159956,up-regulated
MMP9,0.335498692,9.210553374,2.80803876,0.005490352,0.477977959,-2.247045882,up-regulated
ADAM9,0.334133126,4.908163356,2.516507044,0.012656983,0.599101171,-2.890132861,up-regulated
ITGA2B,0.32999817,7.36649686,3.092162235,0.002277742,0.3955395,-1.558833836,up-regulated
MPO,0.329976974,5.873216722,2.995875676,0.003091203,0.415012476,-1.798750411,up-regulated
SYTL2,-0.329944315,5.979342574,-3.135150767,0.001982723,0.376093772,-1.449530897,down-regulated
ASPH,0.326981852,7.717158512,2.563188005,0.011124036,0.592712166,-2.791528813,up-regulated
CES1 /// LOC100653057,0.326625441,7.756630203,3.090006989,0.002293549,0.3955395,-1.564278332,up-regulated
DSC2,0.326485828,7.642592148,2.187769119,0.029873218,0.721850183,-3.536478443,up-regulated
SLPI,0.325498737,7.509933314,2.898917202,0.004172863,0.439895992,-2.033433925,up-regulated
IRF5,0.324450869,8.359868427,1.676092594,0.095319789,0.867184426,-4.371153645,unchanged
SLC26A8,0.32408613,5.87478463,2.587109417,0.010404767,0.587498766,-2.740349727,up-regulated
PYHIN1,-0.322870038,8.580873844,-4.120300606,5.59E-05,0.072997352,1.409751162,down-regulated
LOC389831,-0.32066479,4.52976312,-2.65016298,0.00870454,0.571264302,-2.603346684,down-regulated
A2M-AS1,-0.320315924,7.946645817,-3.166101052,0.001792656,0.369550445,-1.370005095,down-regulated
CLEC5A,0.319810887,5.576895576,2.599032526,0.010062075,0.581350658,-2.714676557,up-regulated
HIP1,0.31930521,8.26069468,2.886737911,0.004330834,0.444827728,-2.062419804,up-regulated
BPGM,0.315129903,7.795343311,1.672192164,0.09608736,0.867184426,-4.376698861,unchanged
IFIT1,0.314339972,6.874208186,1.71582056,0.087780343,0.859913758,-4.313961093,unchanged
S100A12,0.3142928,10.40881287,3.892259739,0.000136209,0.100117566,0.689471071,up-regulated
FECH,0.312479235,8.851038844,1.84761111,0.066170726,0.818107982,-4.114987671,unchanged
APCDD1,0.311608424,5.875685045,3.471971933,0.000636007,0.235692835,-0.547182625,up-regulated
ALAS2,0.310717447,10.87388832,2.193941176,0.029419411,0.721336703,-3.52512634,up-regulated
RNASE1,0.309066574,4.922791334,4.380413817,1.93E-05,0.043108777,2.27189941,up-regulated
LOC389834 /// MAFIP /// TEKT4P2,-0.308495722,6.492330926,-1.929678563,0.055095302,0.798184115,-3.98394298,unchanged
