gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulate
IFI27,1.45826528,12.3139219,3.133675887,0.001881399,0.007449969,-1.710773488,up-regulated
LOC642333,-1.363870192,10.02069338,-7.50905463,5.63E-13,4.21E-10,18.95920542,down-regulated
DEFA1B,1.29053992,12.56375035,4.243299262,2.87E-05,0.000418207,2.126098447,up-regulated
RSAD2,1.254487849,10.4716011,3.268639545,0.001194693,0.005376717,-1.301294763,up-regulated
CCNY,-1.241227605,10.44489856,-8.205143326,5.24E-15,5.88E-12,23.44210891,down-regulated
RABGAP1,-1.156778503,9.20165497,-8.670526786,1.99E-16,2.60E-13,26.58296611,down-regulated
IFITM3,1.145540625,10.5005683,3.666143371,0.000286939,0.001987574,-0.002064121,up-regulated
KLF6,-1.126076223,9.457582741,-7.169911772,4.97E-12,2.65E-09,16.87547588,down-regulated
HDC,-1.110853655,9.925698775,-4.208015832,3.33E-05,0.000461797,1.987961882,down-regulated
CDK9,-1.099340291,9.441650309,-10.4821974,2.24E-22,1.00E-18,39.74620852,down-regulated
TMEM137,-1.076008296,8.171109794,-8.280033258,3.12E-15,3.63E-12,23.94006278,down-regulated
SYNJ2BP,-1.075609769,9.213373932,-10.23665177,1.55E-21,5.41E-18,37.88478662,down-regulated
OLFM4,1.023500137,8.960024914,3.571356687,0.000408045,0.002525329,-0.32439155,up-regulated
OAS2,1.020995195,12.21530935,3.917645451,0.000108741,0.001035261,0.890638602,up-regulated
IL1RN,0.996158424,11.49029301,6.29563462,9.77E-10,2.95E-07,11.83427569,up-regulated
LOC402251,-0.98749378,11.47792348,-4.967054707,1.09E-06,5.18E-05,5.182769061,down-regulated
PAFAH2,-0.987097579,8.936867261,-10.5339541,1.48E-22,7.76E-19,40.14130421,down-regulated
TNFSF14,-0.971364231,11.51195879,-6.661615302,1.14E-10,4.41E-08,13.8845247,down-regulated
IFI44L,0.96308649,11.23908909,2.26902297,0.02391319,0.050802395,-3.943216897,up-regulated
SPATS2L,0.949547922,9.383916345,3.883287861,0.000124536,0.001129542,0.765501435,up-regulated
HES4,0.947015829,10.99018992,3.041056614,0.002546588,0.009242593,-1.98237939,up-regulated
IFIT1,0.945216573,12.22636558,2.767080733,0.005975527,0.017310219,-2.740595365,up-regulated
IFI44,0.942626578,11.99962631,3.309394671,0.001038459,0.004852883,-1.174467114,up-regulated
ZNF148,-0.932764376,8.571672449,-7.550933056,4.28E-13,3.41E-10,19.22121358,down-regulated
OTOF,0.920447928,8.409329147,3.435279232,0.00066766,0.003560586,-0.773472443,up-regulated
FOXP1,-0.920236049,8.834036132,-7.922264131,3.62E-14,3.35E-11,21.58808261,down-regulated
DHX58,0.905872621,10.12126477,4.488640893,9.92E-06,0.000208296,3.114956179,up-regulated
PTP4A2,-0.900340661,13.00102487,-7.20976488,3.86E-12,2.21E-09,17.11676778,down-regulated
LOC440595,-0.887819544,13.10620885,-5.351204702,1.64E-07,1.48E-05,6.97244484,down-regulated
PHKA2,-0.878222431,10.94854602,-7.548848221,4.34E-13,3.41E-10,19.20814599,down-regulated
LYRM7,-0.866048215,9.59431112,-8.773304189,9.50E-17,1.36E-13,27.29115398,down-regulated
TTC14,-0.846228877,8.75916069,-8.864083178,4.93E-17,7.75E-14,27.92089145,down-regulated
TNPO3,-0.844745624,8.313179113,-10.3779169,5.10E-22,2.00E-18,38.95303195,down-regulated
MLL5,-0.836454171,8.803173496,-7.205931616,3.96E-12,2.22E-09,17.09351728,down-regulated
OLIG2,-0.832439533,9.112914018,-3.886138045,0.000123147,0.001122556,0.775844228,down-regulated
FGF9,-0.82947504,7.976096232,-7.583793723,3.45E-13,2.86E-10,19.42751323,down-regulated
ANKRD44,-0.827186142,9.138528576,-6.628064741,1.39E-10,5.20E-08,13.69289206,down-regulated
MS4A7,-0.823511072,9.507018126,-4.908539752,1.45E-06,6.29E-05,4.920138508,down-regulated
ZNF526,-0.81895084,8.092205538,-9.19236462,4.46E-18,7.78E-15,30.23033277,down-regulated
LOC389765,-0.805869624,11.35487396,-6.055598023,3.81E-09,9.08E-07,10.53866522,down-regulated
IRF7,0.794671566,11.23793838,3.15535371,0.001750866,0.007079834,-1.646095893,up-regulated
NUCKS1,-0.790844836,10.10533197,-5.351331472,1.64E-07,1.48E-05,6.973053941,down-regulated
THOC2,-0.786016691,9.222934092,-5.695981943,2.72E-08,4.15E-06,8.673098718,down-regulated
WDR73,-0.783603839,7.732363107,-10.88550149,8.86E-24,6.96E-20,42.84907393,down-regulated
LOC729120,-0.782820326,11.60927795,-6.189923177,1.79E-09,4.97E-07,11.25881289,down-regulated
SNHG7,-0.782322152,8.387125857,-7.485485647,6.57E-13,4.69E-10,18.81219654,down-regulated
FYN,-0.777980975,12.26814841,-4.889672646,1.58E-06,6.64E-05,4.836028441,down-regulated
WIBG,-0.776395032,9.860660238,-5.619222234,4.09E-08,5.52E-06,8.286910166,down-regulated
LOC651309,-0.771507294,7.945543544,-9.418290274,8.27E-19,1.63E-15,31.84791279,down-regulated
