SLE_up,SLE_down,MDD_up,MDD_down
IFI27,LOC642333,OLFM4,HLA-DQA1 /// LOC100509457
DEFA1B,CCNY,CEACAM8,FAM3B
RSAD2,RABGAP1,MMP8,GZMK
IFITM3,KLF6,LCN2,S100B
OLFM4,HDC,LTF,LAIR2
OAS2,CDK9,DEFA4,FCER1A
IL1RN,TMEM137,ARG1,COL4A3
IFI44L,SYNJ2BP,BPI /// LOC149684,HLA-DQA1 /// HLA-DQA2 /// LOC100509457
SPATS2L,LOC402251,CEACAM6,UTS2
HES4,PAFAH2,CRISP3,HOTS
IFIT1,TNFSF14,FOLR3,LOC101928784
IFI44,ZNF148,CNTNAP3 /// CNTNAP3B /// CNTNAP3P2,AKR1C3
OTOF,FOXP1,TDRD9,KLRG1
DHX58,PTP4A2,HP,COL4A4
IRF7,LOC440595,PROS1,SYTL2
FBXO6,PHKA2,PF4V1,PYHIN1
TNFAIP6,LYRM7,CLEC12B,LOC389831
CAMP,TTC14,DEFA1 /// DEFA1B /// DEFA3,A2M-AS1
MT1A,TNPO3,TCN1,LOC389834
NFX1,MLL5,PLOD2,TCRVA15 /// TRAV5 /// TRAV5 /// YME1L1
OASL,OLIG2,PTX3,TREML4
HERC6,FGF9,S100P,MGC40069
SIPA1L2,ANKRD44,CNTNAP3 /// CNTNAP3B,GZMA
DNTTIP1,MS4A7,NRG1,NUAK1
PRIC285,ZNF526,PGM5,PPP1R17
TRIM25,LOC389765,RNASE3,TRDV3
DEFA4,NUCKS1,CACNA1E,LOC339988
GAPVD1,THOC2,RSAD2,BTN3A2
LAMP3,WDR73,HP /// HPR,AC079767.4
CTSG,LOC729120,IFI27,AC006129.2
YPEL3,SNHG7,CD177,ABCD2
CYP4F3,FYN,THBS1,AC090627.1
ISG15,WIBG,SERPING1,FAM226A /// FAM226B
YWHAB,LOC651309,TNFAIP6,NPIPA5 /// NPIPB3 /// NPIPB6 /// NPIPB8
TLR2,CLC,PFKFB2,RPS3A /// SNORD73A
GDE1,GOLGA8B,GRB10,TARP /// TRGC2 /// TRGV9
EPSTI1,ZNF577,ERV3-2,MAP3K15
LOC643384,WSB1,ITGB3,KLRB1
MT1E,RNU6-1,TNNT1,HSPH1
LY6E,PLDN,LOC100653086,FAM118A
SORT1,FLJ38717,EGF,HLA-DQB1
IFIH1,CDC2L2,KCNE1,ZNF567
XAF1,KLRF1,1-Mar,NSG1
DDX58,LOC653888,SIPA1L2,PCDH9
NLRP3,ZNF275,OLAH,RPL9
TIMM10,RHBDL2,CMPK2,MRPL13
PARP12,TNFSF15,LTBP1,SCAPER
CD300LF,LOC347376,TMEM45A,ERAP2
IFIT5,MBOAT2,SERPINB2,ZNF527
STAT2,RNU6-15,TPST1,SLC16A10
LAP3,CD84,MMP9,GAS5 /// SNORD44 /// SNORD47 /// SNORD74 /// SNORD76 /// SNORD77 /// SNORD79 /// SNORD80 /// SNORD81
MOBKL2C,LOC100127975,ADAM9,
EIF2AK2,LOC100134868,ITGA2B,
MT1F,MIAT,MPO,
ADAR,C1orf152,ASPH,
DEFA1,NBPF20,CES1 /// LOC100653057,
MFAP1,BCYRN1,DSC2,
NUP62,XRCC2,SLPI,
PARP14,ZNF689,SLC26A8,
MPO,RBM3,CLEC5A,
CEBPD,6-Mar,HIP1,
SPCS3,ZNF160,S100A12,
PRKCB1,VHL,APCDD1,
NSF,LOC401622,ALAS2,
ITPRIP,HBB,RNASE1,
EMILIN2,CCDC34,KREMEN1,
RAB10,FAM73A,DNAJC6,
GBP1,CCDC47,ELANE,
PEA15,LOC100129269,KIAA1598,
KIAA1539,FAM153B,WDR41,
C20orf108,YIPF6,RHCE /// RHD,
C19orf59,LOC100132585,RP3-525N10.2,
ECHS1,TTC19,CAPNS2,
CD86,SLC38A1,PGLYRP1,
LGALS1,GSTTP2,GP1BB /// SEPT5 /// SEPT5-GP1BB,
TLR7,GNLY,PI3,
SQRDL,LOC100130276,MYL9,
TCN1,LOC728903,MAML3,
CD163,FOXO3,SAMSN1,
BRI3,ARL16,C9orf66,
DEF6,FLJ40722,NCEH1,
SLC26A8,GALNT3,CAMP,
GYPE,LOC730993,TSHZ3,
UQCRFS1,LOC100128098,ITGB5,
RAB7A,ICOS,GADD45A,
CA4,ZNF738,OLR1,
TRIM22,LOC100129211,PEAR1,
PIK3AP1,AKAP11,ATP8B4,
XRN1,LOC644852,TGM2,
CEACAM8,LOC100128510,LOC101928290 /// LOC101928317,
MAOA,LOC653829,LINC00622,
CSTB,MYO3B,RP11-173M1.8,
CMTM3,FAM40B,FKBP9,
SLU7,TECPR1,OSCAR,
PARP9,ZNF652,CXCL5,
LILRA6,SPRYD5,CECR6,
DIP2B,LOC255167,CLEC1B,
VAMP3,LOC90586,FRMD4A,
DDX60L,CD96,ANKRD9,
SIGLEC14,SEL1L3,ECHDC3,
PLD6,C21orf59,TRIM71,
SAP30L,UBE2H,DDX60L,
MEGF9,PLEKHO1,LTB4R,
C18orf25,ARL5A,S1PR3,
TADA3,C14orf153,NSUN7,
TLR1,BSG,LOC101928635,
FAM53C,LOC100128288,RP11-476D10.1,
OAS3,FLJ44124,ALOX15B,
CCR2,NONO,GP6,
CD97,GALNT11,INSC,
IFITM2,HIATL2,MAFG,
RGS19,C8orf45,FAM198B,
UPP1,PPA2,,
HERC5,CYCSL1,,
VPS35,SPOCK2,,
FBN2,ATP8B2,,
DPYSL2,LOC401098,,
ANG,CCNI,,
SSH2,RHOQ,,
TAP1,MTF2,,
RNASE2,INADL,,
CEACAM6,PIP5K2B,,
CPD,LOC731789,,
SHISA5,PTGR2,,
DYSF,HLA-DRB4,,
MX2,GCLM,,
RFXANK,LOC646996,,
UNC93B1,C15orf63,,
DEFA3,FAM175A,,
SPG11,C1orf24,,
AQP9,LOC728809,,
BAZ1A,SSTR2,,
DEDD2,CD160,,
ANXA3,LOC100134053,,
CPSF2,LMOD3,,
MFSD5,LOC100129905,,
LOC388789,TDRD1,,
RTP4,ANKRA2,,
KIAA0319,MAGT1,,
HAUS8,ZNF860,,
TRIOBP,LEP,,
MGC13057,TMEM17,,
PFKFB4,LOC390354,,
MYD88,ZNF786,,
BPI,KRT72,,
NUDT18,MAFF,,
FAM45A,KCTD20,,
ELMO2,ZNF557,,
PRKAB1,ZRANB2,,
PHF21A,LOC648852,,
USP18,EOMES,,
SMARCD3,LOC399940,,
FAM96A,NUBPL,,
TUFT1,C20orf177,,
ACOT9,PPIG,,
LOC653610,SPOP,,
FAM120A,LOC100130229,,
ANKRD33,BLZF1,,
MTDH,ARL17P1,,
ZSWIM7,FKBP14,,
TIMP1,GRIPAP1,,
TDRD7,PTAFR,,
REM2,LOC54103,,
SNRK,LOC202781,,
ARSD,RAXL1,,
PLAC8,PILRB,,
CYP1B1,SYAP1,,
AXUD1,LOC644511,,
MAD2L1BP,SMC1A,,
DNASE2,CCDC125,,
IKZF1,ZNF682,,
IER2,LOC100128126,,
LOC100128196,ENO2,,
ADD1,ZNF514,,
DHRS9,CAPZA2,,
LOC100129550,OCIAD1,,
FCHSD2,SUZ12,,
TMEM43,ZNF540,,
ASB8,C5orf28,,
CENTB2,MYO9A,,
TOM1,PATE2,,
RGL1,NBPF10,,
APOBEC3A,LOC158301,,
ITGAM,ZNF626,,
HP,POLR2J4,,
ACVRL1,HNRPR,,
ABCF1,KIAA2010,,
PPFIA1,USP49,,
KLF11,LOC100133516,,
FABP5L2,BEXL1,,
ABCG1,ZNF394,,
MOSC1,PMVK,,
TNIP1,PRO1853,,
VIL2,RNY3,,
TACSTD2,SMCR5,,
ABR,LOC648921,,
S100A12,CCBE1,,
SNX11,ZNF483,,
MT1G,HNRNPU,,
HSD17B11,ANKRD13D,,
PAG1,DUXAP3,,
C22orf39,LOC100132727,,
TNFSF13B,SEMA3E,,
STOM,CYTIP,,
FLOT1,LOC400446,,
TOR1B,NLRP8,,
MARCO,LOC100132863,,
ANP32B,LOC100130492,,
TMEM62,PPTC7,,
SLA,LOC730740,,
STX3,LOC100128062,,
C1orf85,FCAR,,
PTTG1,CTSB,,
CCR1,C1orf128,,
SCAMP1,GDPD1,,
HEBP2,DEM1,,
DDX23,LOC440157,,
C3AR1,LOC158345,,
KIAA0196,TDP1,,
DUSP5,LOC649150,,
CLEC4D,LOC100129502,,
LRG1,RPS25,,
FNTB,FLJ12078,,
IFI16,SLC1A5,,
AZI2,C9orf130,,
STAU2,MTRF1L,,
PRR13,KIAA0408,,
CEACAM1,Septin 6,,
CES1,HDGF,,
KIF1B,FLJ46309,,
USP3,ZNF14,,
RNF135,PRKAR1A,,
CRNKL1,C10orf33,,
TNFRSF4,CNOT7,,
RALBP1,FUT6,,
MS4A6A,ITM2A,,
LOC100130828,WDR82,,
PEPD,RPL27A,,
GBP4,LOC388275,,
EXOC6,BAX,,
GLB1,TSTD1,,
FCGR1A,PDE7A,,
S100A11,LOC100128936,,
PRKCZ,PLEKHB2,,
MAN1B1,DKFZp686E2433,,
RETN,COX19,,
HMBS,CRCP,,
TRIB1,LOC100131541,,
MOV10,C21orf58,,
DOCK8,LOC100190986,,
HBXIP,RSPRY1,,
GLTP,SIRT5,,
CYBRD1,DTWD2,,
SERTAD3,LOC100130053,,
MBD6,WDR74,,
GRB2,LOC387930,,
CTSL1,GIMAP7,,
ATPAF2,MYST3,,
ABCA1,AARSD1,,
SUSD3,TUBB2C,,
C3orf59,STIM2,,
REC8,IL17RD,,
POTEF,PIP5K2A,,
SLC44A1,RUNDC2C,,
MRPL44,LOC100131989,,
MOBKL2A,CES2,,
LOC284422,LOC100131164,,
IQSEC1,LOC644591,,
TMEM127,C3orf34,,
MTHFS,RPL7L1,,
MGST1,RPL4,,
ACVR1B,CAT,,
UBE2J1,KIAA0492,,
CACNA1E,LOC644949,,
PLXDC2,GJC1,,
SLC3A2,YRDC,,
TMEM208,ZNF451,,
LDLR,LOC100190938,,
SERINC1,RBBP6,,
ANKS1A,EIF2AK4,,
LOC728744,LOC727865,,
FBLN1,LOC646916,,
PTPLA,LOC100134159,,
NEDD9,HNRPA1P4,,
PGS1,LOC100134393,,
ZBP1,CCR3,,
RIN2,STAG3L2,,
PELI1,STAG3L3,,
UQCRQ,RALY,,
HINT3,LOC100132391,,
IL2RG,LOC284757,,
RPRC1,HNRPC,,
