SLE_up,SLE_down,MDD_up,MDD_down
LOC642333,IFI27,HLA-DQA1 /// LOC100509457,OLFM4
CCNY,DEFA1B,FAM3B,CEACAM8
RABGAP1,RSAD2,GZMK,MMP8
KLF6,IFITM3,S100B,LCN2
HDC,OLFM4,LAIR2,LTF
CDK9,OAS2,FCER1A,DEFA4
TMEM137,IL1RN,COL4A3,ARG1
SYNJ2BP,IFI44L,HLA-DQA1 /// HLA-DQA2 /// LOC100509457,BPI /// LOC149684
LOC402251,SPATS2L,UTS2,CEACAM6
PAFAH2,HES4,HOTS,CRISP3
TNFSF14,IFIT1,LOC101928784,FOLR3
ZNF148,IFI44,AKR1C3,CNTNAP3 /// CNTNAP3B /// CNTNAP3P2
FOXP1,OTOF,KLRG1,TDRD9
PTP4A2,DHX58,COL4A4,HP
LOC440595,IRF7,SYTL2,PROS1
PHKA2,FBXO6,PYHIN1,PF4V1
LYRM7,TNFAIP6,LOC389831,CLEC12B
TTC14,CAMP,A2M-AS1,DEFA1 /// DEFA1B /// DEFA3
TNPO3,MT1A,LOC389834,TCN1
MLL5,NFX1,TCRVA15 /// TRAV5 /// TRAV5 /// YME1L1,PLOD2
OLIG2,OASL,TREML4,PTX3
FGF9,HERC6,MGC40069,S100P
ANKRD44,SIPA1L2,GZMA,CNTNAP3 /// CNTNAP3B
MS4A7,DNTTIP1,NUAK1,NRG1
ZNF526,PRIC285,PPP1R17,PGM5
LOC389765,TRIM25,TRDV3,RNASE3
NUCKS1,DEFA4,LOC339988,CACNA1E
THOC2,GAPVD1,BTN3A2,RSAD2
WDR73,LAMP3,AC079767.4,HP /// HPR
LOC729120,CTSG,AC006129.2,IFI27
SNHG7,YPEL3,ABCD2,CD177
FYN,CYP4F3,AC090627.1,THBS1
WIBG,ISG15,FAM226A /// FAM226B,SERPING1
LOC651309,YWHAB,NPIPA5 /// NPIPB3 /// NPIPB6 /// NPIPB8,TNFAIP6
CLC,TLR2,RPS3A /// SNORD73A,PFKFB2
GOLGA8B,GDE1,TARP /// TRGC2 /// TRGV9,GRB10
ZNF577,EPSTI1,MAP3K15,ERV3-2
WSB1,LOC643384,KLRB1,ITGB3
RNU6-1,MT1E,HSPH1,TNNT1
PLDN,LY6E,FAM118A,LOC100653086
FLJ38717,SORT1,HLA-DQB1,EGF
CDC2L2,IFIH1,ZNF567,KCNE1
KLRF1,XAF1,NSG1,1-Mar
LOC653888,DDX58,PCDH9,SIPA1L2
ZNF275,NLRP3,RPL9,OLAH
RHBDL2,TIMM10,MRPL13,CMPK2
TNFSF15,PARP12,SCAPER,LTBP1
LOC347376,CD300LF,ERAP2,TMEM45A
MBOAT2,IFIT5,ZNF527,SERPINB2
RNU6-15,STAT2,SLC16A10,TPST1
CD84,LAP3,GAS5 /// SNORD44 /// SNORD47 /// SNORD74 /// SNORD76 /// SNORD77 /// SNORD79 /// SNORD80 /// SNORD81,MMP9
LOC100127975,MOBKL2C,,ADAM9
LOC100134868,EIF2AK2,,ITGA2B
MIAT,MT1F,,MPO
C1orf152,ADAR,,ASPH
NBPF20,DEFA1,,CES1 /// LOC100653057
BCYRN1,MFAP1,,DSC2
XRCC2,NUP62,,SLPI
ZNF689,PARP14,,SLC26A8
RBM3,MPO,,CLEC5A
6-Mar,CEBPD,,HIP1
ZNF160,SPCS3,,S100A12
VHL,PRKCB1,,APCDD1
LOC401622,NSF,,ALAS2
HBB,ITPRIP,,RNASE1
CCDC34,EMILIN2,,KREMEN1
FAM73A,RAB10,,DNAJC6
CCDC47,GBP1,,ELANE
LOC100129269,PEA15,,KIAA1598
FAM153B,KIAA1539,,WDR41
YIPF6,C20orf108,,RHCE /// RHD
LOC100132585,C19orf59,,RP3-525N10.2
TTC19,ECHS1,,CAPNS2
SLC38A1,CD86,,PGLYRP1
GSTTP2,LGALS1,,GP1BB /// SEPT5 /// SEPT5-GP1BB
GNLY,TLR7,,PI3
LOC100130276,SQRDL,,MYL9
LOC728903,TCN1,,MAML3
FOXO3,CD163,,SAMSN1
ARL16,BRI3,,C9orf66
FLJ40722,DEF6,,NCEH1
GALNT3,SLC26A8,,CAMP
LOC730993,GYPE,,TSHZ3
LOC100128098,UQCRFS1,,ITGB5
ICOS,RAB7A,,GADD45A
ZNF738,CA4,,OLR1
LOC100129211,TRIM22,,PEAR1
AKAP11,PIK3AP1,,ATP8B4
LOC644852,XRN1,,TGM2
LOC100128510,CEACAM8,,LOC101928290 /// LOC101928317
LOC653829,MAOA,,LINC00622
MYO3B,CSTB,,RP11-173M1.8
